Label,txcount,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,LP_avg,LP_stdev,LPCreator_holding_ratio,Lock_ratio,Creator_token_holding_ratio,number_of_token_creation_of_Creator
True,8,1.0,7.0,0.0,0.125,0.875,5.0000000000000001518687278170018545680173584211392068255008780397474765777587890625E-14,0.0,0.539980257,0.0,7.0,0.0,7.0,100.0,0.0,1,0,1,3
True,36,1.0,35.0,0.0,0.027777778,0.972222222,5.0000000000000001518687278170018545680173584211392068255008780397474765777587890625E-14,0.0,0.101729052,0.0,31.0,4.0,6.2,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,8,1.0,6.0,1.0,0.125,0.75,4.999999999999999279191351416257544831292633077056940249516259200390777550637722015380859375E-17,0.0,0.115793243,1.0,6.0,0.0,6.0,100.0,0.0,0E+29,0.9999999999999999999999999998,1,1
True,30,1.0,29.0,0.0,0.033333333,0.966666667,5.050505050505050053266251343441552611767171954366059051142433256043062783646746538579463958740234375E-21,0.0,0.156635053,0.0,23.0,6.0,3.285714286,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,17,1.0,16.0,0.0,0.058823529,0.941176471,4.9999999999000003569905672996911978787849990812919287463955697603523731231689453125E-14,0.0,0.250073378,0.0,14.0,2.0,4.666666667,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,11,1.0,10.0,0.0,0.090909091,0.909090909,4.504504504504504071664331960166287651061874154644927570334544952856958843767642974853515625E-17,0.0,0.287072243,0.0,10.0,0.0,10.0,100.0,0.0,0E+29,0.9999999999999999999999999998,1,1
True,42,1.0,41.0,0.0,0.023809524,0.976190476,5.089999999999998892740460926177404013640657846374859563098880244069732725620269775390625E-16,0.0,0.242461844,0.0,30.0,11.0,2.5,100.0,0.0,0E+31,1.000000000000000000000000000,1,1
True,62,1.0,61.0,0.0,0.016129032,0.983870968,5.0000000000000001518687278170018545680173584211392068255008780397474765777587890625E-14,0.0,0.070796324,0.0,53.0,8.0,5.888888889,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,19,1.0,18.0,0.0,0.052631579,0.947368421,5.0000000000000001518687278170018545680173584211392068255008780397474765777587890625E-14,0.0,0.190953008,0.0,14.0,4.0,2.8,100.0,0.0,0,1,1,1
True,14,1.0,13.0,0.0,0.071428571,0.928571429,5.0000000000000001518687278170018545680173584211392068255008780397474765777587890625E-14,0.0,0.346392738,0.0,11.0,2.0,3.666666667,100.0,0.0,0,1,1,1
